energy,total.dn,total.up,Mn.s.up,Mn.s.dn,Mn.p.up,Mn.p.dn,Mn.d.up,Mn.d.dn,Li.s.up,Li.s.dn,Li.p.up,Li.p.dn,Li.d.up,Li.d.dn,Sb.s.up,Sb.s.dn,Sb.p.up,Sb.p.dn,Sb.d.up,Sb.d.dn
 +4.7391,1.757e+00,2.983e-01,4.600e-03,3.120e-02,1.390e-02,4.050e-02,8.800e-03,1.366e-01,1.040e-02,1.031e-01,4.120e-02,2.113e-01,0.000e+00,0.000e+00,7.800e-03,6.140e-02,1.680e-02,9.590e-02,3.480e-02,1.890e-01
 +4.7582,1.684e+00,2.437e-01,3.900e-03,3.000e-02,1.110e-02,3.870e-02,7.100e-03,1.307e-01,8.400e-03,9.910e-02,3.410e-02,2.024e-01,0.000e+00,0.000e+00,6.200e-03,5.780e-02,1.390e-02,9.310e-02,2.830e-02,1.812e-01
 +4.7773,1.603e+00,1.798e-01,3.000e-03,2.870e-02,8.200e-03,3.670e-02,4.900e-03,1.244e-01,6.100e-03,9.450e-02,2.520e-02,1.926e-01,0.000e+00,0.000e+00,4.600e-03,5.370e-02,1.060e-02,8.940e-02,2.100e-02,1.729e-01
 +4.7964,1.522e+00,1.337e-01,2.300e-03,2.740e-02,6.300e-03,3.470e-02,3.600e-03,1.182e-01,4.300e-03,8.970e-02,1.890e-02,1.832e-01,0.000e+00,0.000e+00,3.400e-03,4.980e-02,8.200e-03,8.550e-02,1.540e-02,1.648e-01
 +4.8155,1.452e+00,1.045e-01,1.900e-03,2.640e-02,5.000e-03,3.300e-02,2.500e-03,1.125e-01,3.200e-03,8.520e-02,1.520e-02,1.752e-01,0.000e+00,0.000e+00,2.600e-03,4.630e-02,6.300e-03,8.250e-02,1.230e-02,1.573e-01
 +4.8347,1.339e+00,8.680e-02,1.700e-03,2.470e-02,4.100e-03,3.050e-02,2.000e-03,1.025e-01,2.700e-03,7.540e-02,1.250e-02,1.647e-01,0.000e+00,0.000e+00,2.000e-03,4.110e-02,5.500e-03,7.610e-02,1.020e-02,1.458e-01
 +4.8538,1.252e+00,7.260e-02,1.500e-03,2.390e-02,3.400e-03,2.880e-02,1.700e-03,9.370e-02,2.300e-03,6.640e-02,1.050e-02,1.576e-01,0.000e+00,0.000e+00,1.700e-03,3.730e-02,4.700e-03,7.170e-02,8.300e-03,1.372e-01
 +4.8729,1.183e+00,6.040e-02,1.300e-03,2.300e-02,2.900e-03,2.740e-02,1.400e-03,8.710e-02,1.900e-03,6.050e-02,8.600e-03,1.513e-01,0.000e+00,0.000e+00,1.400e-03,3.400e-02,4.300e-03,6.810e-02,7.000e-03,1.301e-01
 +4.8920,1.083e+00,4.910e-02,1.100e-03,2.160e-02,2.200e-03,2.510e-02,1.100e-03,7.910e-02,1.700e-03,5.520e-02,7.000e-03,1.391e-01,0.000e+00,0.000e+00,1.100e-03,3.060e-02,3.600e-03,6.300e-02,5.600e-03,1.189e-01
 +4.9111,9.919e-01,3.860e-02,9.000e-04,2.010e-02,1.800e-03,2.280e-02,8.000e-04,7.190e-02,1.300e-03,5.050e-02,5.300e-03,1.280e-01,0.000e+00,0.000e+00,8.000e-04,2.720e-02,3.000e-03,5.710e-02,4.500e-03,1.096e-01
 +4.9303,9.133e-01,2.170e-02,6.000e-04,1.880e-02,1.100e-03,2.090e-02,4.000e-04,6.570e-02,7.000e-04,4.690e-02,2.900e-03,1.179e-01,0.000e+00,0.000e+00,5.000e-04,2.430e-02,1.700e-03,5.280e-02,2.600e-03,1.012e-01
 +4.9494,8.325e-01,1.380e-02,4.000e-04,1.750e-02,7.000e-04,1.890e-02,4.000e-04,5.990e-02,4.000e-04,4.330e-02,1.800e-03,1.069e-01,0.000e+00,0.000e+00,3.000e-04,2.130e-02,1.100e-03,4.830e-02,1.800e-03,9.270e-02
 +4.9685,7.378e-01,7.700e-03,2.000e-04,1.580e-02,4.000e-04,1.680e-02,0.000e+00,5.300e-02,3.000e-04,3.920e-02,1.000e-03,9.410e-02,0.000e+00,0.000e+00,2.000e-04,1.820e-02,6.000e-04,4.260e-02,9.000e-04,8.290e-02
 +4.9876,6.346e-01,3.300e-03,1.000e-04,1.430e-02,2.000e-04,1.420e-02,0.000e+00,4.540e-02,0.000e+00,3.510e-02,2.000e-04,7.960e-02,0.000e+00,0.000e+00,0.000e+00,1.520e-02,2.000e-04,3.710e-02,1.000e-04,7.160e-02
 +5.0067,5.404e-01,8.000e-04,0.000e+00,1.300e-02,0.000e+00,1.200e-02,0.000e+00,3.870e-02,0.000e+00,3.140e-02,0.000e+00,6.600e-02,0.000e+00,0.000e+00,0.000e+00,1.270e-02,0.000e+00,3.150e-02,0.000e+00,6.150e-02
 +5.0258,4.236e-01,0.000e+00,0.000e+00,1.110e-02,0.000e+00,9.400e-03,0.000e+00,3.170e-02,0.000e+00,2.730e-02,0.000e+00,4.840e-02,0.000e+00,0.000e+00,0.000e+00,1.000e-02,0.000e+00,2.530e-02,0.000e+00,4.830e-02
 +5.0450,3.457e-01,0.000e+00,0.000e+00,9.100e-03,0.000e+00,7.500e-03,0.000e+00,2.660e-02,0.000e+00,2.340e-02,0.000e+00,3.850e-02,0.000e+00,0.000e+00,0.000e+00,7.800e-03,0.000e+00,2.030e-02,0.000e+00,3.960e-02
 +5.0641,2.920e-01,0.000e+00,0.000e+00,7.500e-03,0.000e+00,6.200e-03,0.000e+00,2.310e-02,0.000e+00,2.000e-02,0.000e+00,3.220e-02,0.000e+00,0.000e+00,0.000e+00,6.100e-03,0.000e+00,1.690e-02,0.000e+00,3.360e-02
 +5.0832,2.114e-01,0.000e+00,0.000e+00,5.100e-03,0.000e+00,4.900e-03,0.000e+00,1.550e-02,0.000e+00,1.320e-02,0.000e+00,2.490e-02,0.000e+00,0.000e+00,0.000e+00,4.300e-03,0.000e+00,1.250e-02,0.000e+00,2.450e-02
 +5.1023,1.410e-01,0.000e+00,0.000e+00,3.100e-03,0.000e+00,3.500e-03,0.000e+00,9.300e-03,0.000e+00,7.100e-03,0.000e+00,1.850e-02,0.000e+00,0.000e+00,0.000e+00,2.700e-03,0.000e+00,8.300e-03,0.000e+00,1.640e-02
 +5.1214,8.940e-02,0.000e+00,0.000e+00,1.700e-03,0.000e+00,2.600e-03,0.000e+00,4.500e-03,0.000e+00,2.800e-03,0.000e+00,1.370e-02,0.000e+00,0.000e+00,0.000e+00,1.500e-03,0.000e+00,5.600e-03,0.000e+00,1.040e-02
 +5.1406,7.110e-02,0.000e+00,0.000e+00,1.400e-03,0.000e+00,2.100e-03,0.000e+00,3.400e-03,0.000e+00,2.000e-03,0.000e+00,1.100e-02,0.000e+00,0.000e+00,0.000e+00,1.200e-03,0.000e+00,4.900e-03,0.000e+00,8.300e-03
 +5.1597,5.800e-02,0.000e+00,0.000e+00,1.200e-03,0.000e+00,1.600e-03,0.000e+00,2.800e-03,0.000e+00,1.900e-03,0.000e+00,8.800e-03,0.000e+00,0.000e+00,0.000e+00,9.000e-04,0.000e+00,4.200e-03,0.000e+00,6.600e-03
 +5.1788,4.440e-02,0.000e+00,0.000e+00,1.000e-03,0.000e+00,1.200e-03,0.000e+00,2.100e-03,0.000e+00,1.500e-03,0.000e+00,6.600e-03,0.000e+00,0.000e+00,0.000e+00,7.000e-04,0.000e+00,3.400e-03,0.000e+00,5.000e-03
 +5.1979,2.410e-02,0.000e+00,0.000e+00,6.000e-04,0.000e+00,7.000e-04,0.000e+00,9.000e-04,0.000e+00,9.000e-04,0.000e+00,3.500e-03,0.000e+00,0.000e+00,0.000e+00,4.000e-04,0.000e+00,1.800e-03,0.000e+00,2.700e-03
 +5.2170,1.200e-02,0.000e+00,0.000e+00,3.000e-04,0.000e+00,4.000e-04,0.000e+00,6.000e-04,0.000e+00,3.000e-04,0.000e+00,1.800e-03,0.000e+00,0.000e+00,0.000e+00,1.000e-04,0.000e+00,1.000e-03,0.000e+00,1.600e-03
 +5.2361,4.000e-03,0.000e+00,0.000e+00,1.000e-04,0.000e+00,2.000e-04,0.000e+00,2.000e-04,0.000e+00,0.000e+00,0.000e+00,6.000e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.000e-04,0.000e+00,6.000e-04
